STATION_ID,TIME_TAG UTC (Z+0),VEGA
VANCOUVER HARBOUR,2019-09-15 00:00,3.66
VANCOUVER HARBOUR,2019-09-15 00:01,3.6680
VANCOUVER HARBOUR,2019-09-15 00:02,3.6650
VANCOUVER HARBOUR,2019-09-15 00:03,3.6720
VANCOUVER HARBOUR,2019-09-15 00:04,3.6860
VANCOUVER HARBOUR,2019-09-15 00:05,3.7050
VANCOUVER HARBOUR,2019-09-15 00:06,3.7010
VANCOUVER HARBOUR,2019-09-15 00:07,3.6980
VANCOUVER HARBOUR,2019-09-15 00:08,3.72
VANCOUVER HARBOUR,2019-09-15 00:09,3.74
VANCOUVER HARBOUR,2019-09-15 00:10,3.75
VANCOUVER HARBOUR,2019-09-15 00:11,3.7450
VANCOUVER HARBOUR,2019-09-15 00:12,3.76
VANCOUVER HARBOUR,2019-09-15 00:13,3.7750
VANCOUVER HARBOUR,2019-09-15 00:14,3.7930
VANCOUVER HARBOUR,2019-09-15 00:15,3.7990
VANCOUVER HARBOUR,2019-09-15 00:16,3.8070
VANCOUVER HARBOUR,2019-09-15 00:17,3.8230
VANCOUVER HARBOUR,2019-09-15 00:18,3.8370
VANCOUVER HARBOUR,2019-09-15 00:19,3.8440
VANCOUVER HARBOUR,2019-09-15 00:20,3.8560
VANCOUVER HARBOUR,2019-09-15 00:21,3.8630
VANCOUVER HARBOUR,2019-09-15 00:22,3.8720
VANCOUVER HARBOUR,2019-09-15 00:23,3.88
VANCOUVER HARBOUR,2019-09-15 00:24,3.8850
VANCOUVER HARBOUR,2019-09-15 00:25,3.8920
VANCOUVER HARBOUR,2019-09-15 00:26,3.9010
VANCOUVER HARBOUR,2019-09-15 00:27,3.9030
VANCOUVER HARBOUR,2019-09-15 00:28,3.9150
VANCOUVER HARBOUR,2019-09-15 00:29,3.9270
VANCOUVER HARBOUR,2019-09-15 00:30,3.9410
VANCOUVER HARBOUR,2019-09-15 00:31,3.9480
VANCOUVER HARBOUR,2019-09-15 00:32,3.9550
VANCOUVER HARBOUR,2019-09-15 00:33,3.9590
VANCOUVER HARBOUR,2019-09-15 00:34,3.9770
VANCOUVER HARBOUR,2019-09-15 00:35,3.9860
VANCOUVER HARBOUR,2019-09-15 00:36,3.99
VANCOUVER HARBOUR,2019-09-15 00:37,3.9910
VANCOUVER HARBOUR,2019-09-15 00:38,3.9970
VANCOUVER HARBOUR,2019-09-15 00:39,4.0050
VANCOUVER HARBOUR,2019-09-15 00:40,4.0170
VANCOUVER HARBOUR,2019-09-15 00:41,4.0230
VANCOUVER HARBOUR,2019-09-15 00:42,4.0260
VANCOUVER HARBOUR,2019-09-15 00:43,4.0280
VANCOUVER HARBOUR,2019-09-15 00:44,4.0430
VANCOUVER HARBOUR,2019-09-15 00:45,4.0490
VANCOUVER HARBOUR,2019-09-15 00:46,4.0510
VANCOUVER HARBOUR,2019-09-15 00:47,4.0610
VANCOUVER HARBOUR,2019-09-15 00:48,4.0710
VANCOUVER HARBOUR,2019-09-15 00:49,4.0830
VANCOUVER HARBOUR,2019-09-15 00:50,4.0890
VANCOUVER HARBOUR,2019-09-15 00:51,4.09
VANCOUVER HARBOUR,2019-09-15 00:52,4.0960
VANCOUVER HARBOUR,2019-09-15 00:53,4.1180
VANCOUVER HARBOUR,2019-09-15 00:54,4.1220
VANCOUVER HARBOUR,2019-09-15 00:55,4.1290
VANCOUVER HARBOUR,2019-09-15 00:56,4.1270
VANCOUVER HARBOUR,2019-09-15 00:57,4.1420
VANCOUVER HARBOUR,2019-09-15 00:58,4.1530
VANCOUVER HARBOUR,2019-09-15 00:59,4.1550
VANCOUVER HARBOUR,2019-09-15 01:00,4.1550
VANCOUVER HARBOUR,2019-09-15 01:01,4.1670
VANCOUVER HARBOUR,2019-09-15 01:02,4.1860
VANCOUVER HARBOUR,2019-09-15 01:03,4.2010
VANCOUVER HARBOUR,2019-09-15 01:04,4.2080
VANCOUVER HARBOUR,2019-09-15 01:05,4.21
VANCOUVER HARBOUR,2019-09-15 01:06,4.2190
VANCOUVER HARBOUR,2019-09-15 01:07,4.2330
VANCOUVER HARBOUR,2019-09-15 01:08,4.2450
VANCOUVER HARBOUR,2019-09-15 01:09,4.2470
VANCOUVER HARBOUR,2019-09-15 01:10,4.25
VANCOUVER HARBOUR,2019-09-15 01:11,4.2670
VANCOUVER HARBOUR,2019-09-15 01:12,4.2710
VANCOUVER HARBOUR,2019-09-15 01:13,4.2690
VANCOUVER HARBOUR,2019-09-15 01:14,4.2760
VANCOUVER HARBOUR,2019-09-15 01:15,4.29
VANCOUVER HARBOUR,2019-09-15 01:16,4.3060
VANCOUVER HARBOUR,2019-09-15 01:17,4.3090
VANCOUVER HARBOUR,2019-09-15 01:18,4.3090
VANCOUVER HARBOUR,2019-09-15 01:19,4.3130
VANCOUVER HARBOUR,2019-09-15 01:20,4.3260
VANCOUVER HARBOUR,2019-09-15 01:21,4.3370
VANCOUVER HARBOUR,2019-09-15 01:22,4.3370
VANCOUVER HARBOUR,2019-09-15 01:23,4.3340
VANCOUVER HARBOUR,2019-09-15 01:24,4.34
VANCOUVER HARBOUR,2019-09-15 01:25,4.3460
VANCOUVER HARBOUR,2019-09-15 01:26,4.3510
VANCOUVER HARBOUR,2019-09-15 01:27,4.3530
VANCOUVER HARBOUR,2019-09-15 01:28,4.3610
VANCOUVER HARBOUR,2019-09-15 01:29,4.3680
VANCOUVER HARBOUR,2019-09-15 01:30,4.3720
VANCOUVER HARBOUR,2019-09-15 01:31,4.3730
VANCOUVER HARBOUR,2019-09-15 01:32,4.3750
VANCOUVER HARBOUR,2019-09-15 01:33,4.3790
VANCOUVER HARBOUR,2019-09-15 01:34,4.3890
VANCOUVER HARBOUR,2019-09-15 01:35,4.3940
VANCOUVER HARBOUR,2019-09-15 01:36,4.3920
VANCOUVER HARBOUR,2019-09-15 01:37,4.3960
VANCOUVER HARBOUR,2019-09-15 01:38,4.3980
VANCOUVER HARBOUR,2019-09-15 01:39,4.4010
VANCOUVER HARBOUR,2019-09-15 01:40,4.4010
VANCOUVER HARBOUR,2019-09-15 01:41,4.4080
VANCOUVER HARBOUR,2019-09-15 01:42,4.4120
VANCOUVER HARBOUR,2019-09-15 01:43,4.4170
VANCOUVER HARBOUR,2019-09-15 01:44,4.4150
VANCOUVER HARBOUR,2019-09-15 01:45,4.4170
VANCOUVER HARBOUR,2019-09-15 01:46,4.4250
VANCOUVER HARBOUR,2019-09-15 01:47,4.4340
VANCOUVER HARBOUR,2019-09-15 01:48,4.4360
VANCOUVER HARBOUR,2019-09-15 01:49,4.4370
VANCOUVER HARBOUR,2019-09-15 01:50,4.4440
VANCOUVER HARBOUR,2019-09-15 01:51,4.4510
VANCOUVER HARBOUR,2019-09-15 01:52,4.4550
VANCOUVER HARBOUR,2019-09-15 01:53,4.4580
VANCOUVER HARBOUR,2019-09-15 01:54,4.4620
VANCOUVER HARBOUR,2019-09-15 01:55,4.4670
VANCOUVER HARBOUR,2019-09-15 01:56,4.4760
VANCOUVER HARBOUR,2019-09-15 01:57,4.47
VANCOUVER HARBOUR,2019-09-15 01:58,4.4670
VANCOUVER HARBOUR,2019-09-15 01:59,4.47
VANCOUVER HARBOUR,2019-09-15 02:00,4.4790
VANCOUVER HARBOUR,2019-09-15 02:01,4.4860
VANCOUVER HARBOUR,2019-09-15 02:02,4.4930
