time,encoder
2019-09-22 00:00, 4.022
2019-09-22 00:01, 4.0245
2019-09-22 00:02, 4.0335
2019-09-22 00:03, 4.0375
2019-09-22 00:04, 4.0405
2019-09-22 00:05, 4.0465
2019-09-22 00:06, 4.0465
2019-09-22 00:07, 4.0504999999999995
2019-09-22 00:08, 4.052
2019-09-22 00:09, 4.052
2019-09-22 00:10, 4.0600000000000005
2019-09-22 00:11, 4.0595
2019-09-22 00:12, 4.064
2019-09-22 00:13, 4.07
2019-09-22 00:14, 4.07
2019-09-22 00:15, 4.075
2019-09-22 00:16, 4.079000000000001
2019-09-22 00:17, 4.079000000000001
2019-09-22 00:18, 4.0845
2019-09-22 00:19, 4.087
2019-09-22 00:20, 4.088
2019-09-22 00:21, 4.0915
2019-09-22 00:22, 4.093
2019-09-22 00:23, 4.0985
2019-09-22 00:24, 4.104
2019-09-22 00:25, 4.106
2019-09-22 00:26, 4.109999999999999
2019-09-22 00:27, 4.1129999999999995
2019-09-22 00:28, 4.1165
2019-09-22 00:29, 4.122
2019-09-22 00:30, 4.1225000000000005
2019-09-22 00:31, 4.1235
2019-09-22 00:32, 4.125500000000001
2019-09-22 00:33, 4.128
2019-09-22 00:34, 4.13
2019-09-22 00:35, 4.131
2019-09-22 00:36, 4.133
2019-09-22 00:37, 4.135999999999999
2019-09-22 00:38, 4.1365
2019-09-22 00:39, 4.138999999999999
2019-09-22 00:40, 4.1385000000000005
2019-09-22 00:41, 4.138
2019-09-22 00:42, 4.1395
2019-09-22 00:43, 4.137499999999999
2019-09-22 00:44, 4.138999999999999
2019-09-22 00:45, 4.138
2019-09-22 00:46, 4.1375
2019-09-22 00:47, 4.140499999999999
2019-09-22 00:48, 4.1395
2019-09-22 00:49, 4.141
2019-09-22 00:50, 4.1425
2019-09-22 00:51, 4.143000000000001
2019-09-22 00:52, 4.1475
2019-09-22 00:53, 4.149
2019-09-22 00:54, 4.15
2019-09-22 00:55, 4.151
2019-09-22 00:56, 4.151999999999999
2019-09-22 00:57, 4.154
2019-09-22 00:58, 4.159000000000001
2019-09-22 00:59, 4.1585
2019-09-22 01:00, 4.16
2019-09-22 01:01, 4.162
2019-09-22 01:02, 4.163
2019-09-22 01:03, 4.1645
2019-09-22 01:04, 4.164
2019-09-22 01:05, 4.1625
2019-09-22 01:06, 4.1625
2019-09-22 01:07, 4.1605
2019-09-22 01:08, 4.1594999999999995
2019-09-22 01:09, 4.1555
2019-09-22 01:10, 4.156000000000001
2019-09-22 01:11, 4.1579999999999995
2019-09-22 01:12, 4.159000000000001
2019-09-22 01:13, 4.1605
2019-09-22 01:14, 4.16
2019-09-22 01:15, 4.1605
2019-09-22 01:16, 4.1615
2019-09-22 01:17, 4.1605
2019-09-22 01:18, 4.16
2019-09-22 01:19, 4.162
2019-09-22 01:20, 4.163
2019-09-22 01:21, 4.164
2019-09-22 01:22, 4.1645
2019-09-22 01:23, 4.1635
2019-09-22 01:24, 4.1645
2019-09-22 01:25, 4.165
2019-09-22 01:26, 4.165
2019-09-22 01:27, 4.1635
2019-09-22 01:28, 4.1625
2019-09-22 01:29, 4.1615
2019-09-22 01:30, 4.1594999999999995
2019-09-22 01:31, 4.157500000000001
2019-09-22 01:32, 4.157
2019-09-22 01:33, 4.155
2019-09-22 01:34, 4.1515
2019-09-22 01:35, 4.1495
2019-09-22 01:36, 4.1465
2019-09-22 01:37, 4.143
2019-09-22 01:38, 4.14
2019-09-22 01:39, 4.137499999999999
2019-09-22 01:40, 4.1355
2019-09-22 01:41, 4.135
2019-09-22 01:42, 4.1335
2019-09-22 01:43, 4.1305
2019-09-22 01:44, 4.1295
2019-09-22 01:45, 4.1274999999999995
2019-09-22 01:46, 4.125500000000001
2019-09-22 01:47, 4.1235
2019-09-22 01:48, 4.12
2019-09-22 01:49, 4.1185
2019-09-22 01:50, 4.1165
2019-09-22 01:51, 4.1135
2019-09-22 01:52, 4.1114999999999995
2019-09-22 01:53, 4.109
2019-09-22 01:54, 4.106
2019-09-22 01:55, 4.1035
2019-09-22 01:56, 4.098
2019-09-22 01:57, 4.093
2019-09-22 01:58, 4.088
2019-09-22 01:59, 4.082
2019-09-22 02:00, 4.077
2019-09-22 02:01, 4.072
2019-09-22 02:02, 4.068
2019-09-22 02:03, 4.064500000000001
2019-09-22 02:04, 4.0634999999999994
2019-09-22 02:05, 4.0625
2019-09-22 02:06, 4.06
2019-09-22 02:07, 4.0565
2019-09-22 02:08, 4.0535
2019-09-22 02:09, 4.0515
2019-09-22 02:10, 4.0495
2019-09-22 02:11, 4.0455000000000005
2019-09-22 02:12, 4.0425
2019-09-22 02:13, 4.0405
2019-09-22 02:14, 4.039
2019-09-22 02:15, 4.038
2019-09-22 02:16, 4.0365
2019-09-22 02:17, 4.0335
2019-09-22 02:18, 4.031499999999999
2019-09-22 02:19, 4.028
2019-09-22 02:20, 4.023
2019-09-22 02:21, 4.017
2019-09-22 02:22, 4.011
2019-09-22 02:23, 4.0055
2019-09-22 02:24, 4.0015
2019-09-22 02:25, 3.997
2019-09-22 02:26, 3.993
2019-09-22 02:27, 3.988
2019-09-22 02:28, 3.982
2019-09-22 02:29, 3.977
2019-09-22 02:30, 3.971
2019-09-22 02:31, 3.9645
2019-09-22 02:32, 3.958
2019-09-22 02:33, 3.952
2019-09-22 02:34, 3.947
